DEPTH;CAL;DT;GR;NPHI;ILD;RHOB;SP;porosite;K
1125.00000;9.42400;132.83900;64.94500;0.45300;1.12700;2.23200;1.97700;0.297697108793054;2660.12463250141
1125.00476;9.42488;132.79199;64.95374;0.45279;1.12912;2.23250;1.97772;0.297401771849995;2655.45801410561
1125.19995;9.46158;130.86328;65.31360;0.44420;1.21579;2.25279;2.00739;0.28537833534477;2469.40838836516
1125.20007;9.46161;130.86230;65.31384;0.44420;1.21585;2.25281;2.00742;0.28537140534066;2469.30336777571
1125.21558;9.46452;130.70898;65.34241;0.44352;1.22272;2.25442;2.00977;0.284422613562187;2454.94899056032
1125.25000;9.47100;130.36900;65.40600;0.44200;1.23800;2.25800;2.01500;0.282315308048426;2423.23832548896
1125.40002;9.49379;128.31934;65.46481;0.44320;1.28961;2.26160;2.13025;0.277484915832929;2351.44058842523
1125.42981;9.49832;127.91309;65.47650;0.44344;1.29987;2.26231;2.15314;0.276529905000491;2337.39224756256
1125.50000;9.50900;126.95400;65.50400;0.44400;1.32400;2.26400;2.20700;0.274274741870538;2304.41070535966
1125.59998;9.54498;127.33887;65.49440;0.44480;1.30360;2.25560;2.24179;0.276520441845549;2337.25331277399
1125.60010;9.54504;127.33936;65.49439;0.44480;1.30357;2.25559;2.24182;0.276522941392922;2337.29001698197
1125.64600;9.56155;127.51562;65.48998;0.44517;1.29422;2.25174;2.25781;0.277553233485041;2352.44744727116
1125.75000;9.59900;127.91600;65.48000;0.44600;1.27300;2.24300;2.29400;0.279890957951471;2387.04858878768
1125.80005;9.59900;127.87036;65.69336;0.44720;1.26740;2.24480;2.29761;0.277980672846671;2358.75234819914
1125.86255;9.59900;127.81335;65.95947;0.44870;1.26039;2.24705;2.30210;0.275568171619058;2323.2938977587
1126.00000;9.59900;127.68800;66.54600;0.45200;1.24500;2.25200;2.31200;0.270130793111205;2244.50973382285
1126.07983;9.59133;126.63477;67.06348;0.45328;1.24596;2.25711;2.28775;0.262937261427075;2142.69256666078
1126.19995;9.57980;125.04980;67.84277;0.45520;1.24740;2.26479;2.25122;0.251998840864665;1993.13647386543
1126.20007;9.57979;125.04785;67.84375;0.45520;1.24740;2.26480;2.25119;0.251984505910872;1992.94464733595
1126.25000;9.57500;124.38900;68.16800;0.45600;1.24800;2.26800;2.23600;0.247393839241396;1932.07488838936
1126.29980;9.57381;124.00488;68.51074;0.45760;1.25019;2.26321;2.21707;0.244290944755477;1891.56611032457
1126.40002;9.57140;123.23340;69.20020;0.46080;1.25460;2.25359;2.17899;0.237805033437102;1808.54282625661
1126.50000;9.56900;122.46300;69.88800;0.46400;1.25900;2.24400;2.14100;0.230996959449788;1723.7987904365
1126.52319;9.56984;122.55225;70.07617;0.46521;1.26141;2.24214;2.13522;0.229548777947883;1706.08993453376
1126.59998;9.57260;122.84863;70.70312;0.46920;1.26940;2.23600;2.11621;0.224443624787406;1644.55068254667
1126.60010;9.57261;122.84912;70.70410;0.46920;1.26941;2.23599;2.11618;0.224434207574786;1644.43844303504
1126.74719;9.57790;123.41602;71.90527;0.47685;1.28471;2.22423;2.07968;0.213443634229117;1516.65682830671
1126.75000;9.57800;123.42700;71.92900;0.47700;1.28500;2.22400;2.07900;0.213208731783413;1513.99575472437
1126.80005;9.58000;123.82324;71.92479;0.47560;1.30441;2.22680;2.05396;0.213304573894097;1515.08120444625
1126.96887;9.58676;125.15918;71.91061;0.47087;1.36993;2.23626;1.96954;0.213623647201761;1518.69834117919
1127.00000;9.58800;125.40600;71.90800;0.47000;1.38200;2.23800;1.95400;0.213684027709802;1519.38344314287
1127.19031;9.59104;124.56689;71.27100;0.46772;1.39419;2.25170;1.95400;0.218370099250592;1573.14133861194
1127.19995;9.59120;124.52441;71.23853;0.46760;1.39481;2.25240;1.95400;0.218593302410052;1575.73098517655
1127.20007;9.59120;124.52393;71.23828;0.46760;1.39481;2.25240;1.95400;0.218595559641211;1575.75718754218
1127.25000;9.59200;124.30400;71.07100;0.46700;1.39800;2.25600;1.95400;0.21972507874683;1588.90279233844
1127.40002;9.60821;123.14355;70.92163;0.46100;1.43161;2.26320;1.91980;0.217655983556319;1564.87371434533
1127.41321;9.60963;123.04102;70.90857;0.46047;1.43456;2.26384;1.91681;0.217467415839555;1562.6951195123
1127.50000;9.61900;122.37100;70.82200;0.45700;1.45400;2.26800;1.89700;0.216235689443607;1548.51096426532
1127.59998;9.63460;121.29590;70.88879;0.44980;1.47679;2.26880;1.89340;0.212284319284166;1503.55211592772
1127.60010;9.63463;121.29395;70.88885;0.44979;1.47682;2.26880;1.89339;0.21227860806291;1503.48773346653
1127.63879;9.64066;120.87793;70.91473;0.44701;1.48564;2.26911;1.89200;0.210755486903068;1486.37946000481
1127.75000;9.65800;119.68300;70.98900;0.43900;1.51100;2.27000;1.88800;0.206392768508611;1438.05756270317
1127.80005;9.66841;120.08008;71.08740;0.43740;1.51381;2.27320;1.90500;0.20526433294294;1425.72344943692
1127.86621;9.68217;120.60547;71.21777;0.43528;1.51751;2.27744;1.92749;0.203757820155641;1409.36224705943
1128.00000;9.71000;121.66700;71.48100;0.43100;1.52500;2.28600;1.97300;0.200681092966403;1376.32244044375
1128.09412;9.71903;121.13232;71.49794;0.43552;1.52199;2.29203;2.02234;0.199818073086843;1367.14504038497
1128.19995;9.72919;120.53125;71.51700;0.44060;1.51860;2.29880;2.07776;0.198849735882009;1356.89477673938
1128.20007;9.72921;120.53076;71.51701;0.44061;1.51860;2.29881;2.07782;0.198849589566981;1356.8932316989
1128.25000;9.73400;120.24700;71.52600;0.44300;1.51700;2.30200;2.10400;0.198392170291387;1352.0685728759
1128.32153;9.73830;120.56006;71.04590;0.44558;1.45691;2.28540;2.10400;0.206637349513462;1440.73970859342
1128.40002;9.74300;120.90381;70.51855;0.44840;1.39099;2.26718;2.10400;0.215667705243189;1541.99705774707
1128.50000;9.74900;121.34100;69.84700;0.45200;1.30700;2.24400;2.10400;0.227133920260423;1676.80782819212
1128.54895;9.75566;121.63135;69.55322;0.45317;1.30035;2.24184;2.13690;0.231240663191029;1726.78985447792
1128.59998;9.76260;121.93359;69.24756;0.45440;1.29341;2.23960;2.17120;0.235483589142246;1779.36998252245
1128.60010;9.76262;121.93408;69.24658;0.45440;1.29340;2.23959;2.17126;0.235495847638307;1779.52327998038
1128.75000;9.78300;122.82300;68.34700;0.45800;1.27300;2.23300;2.27200;0.247797439756044;1937.38175973566
1128.77405;9.78300;122.94775;68.31128;0.46146;1.27117;2.23204;2.27527;0.249245992496258;1956.49900523911
1128.80005;9.78300;123.08203;68.27258;0.46519;1.26920;2.23100;2.27881;0.250812438672752;1977.2975475993
1128.99695;9.78300;124.10059;67.97949;0.49355;1.25423;2.22312;2.30559;0.262791673119243;2140.6607499657
1129.00000;9.78300;124.11600;67.97500;0.49400;1.25400;2.22300;2.30600;0.26297932940692;2143.28047947051
1129.19995;9.80379;126.43359;67.53271;0.49960;1.21001;2.22140;2.32279;0.273188046776283;2288.61456872854
1129.20007;9.80380;126.43457;67.53247;0.49960;1.20998;2.22140;2.32281;0.274052401090424;2301.17390242818
1129.21692;9.80555;126.62988;67.49512;0.50007;1.20627;2.22126;2.32422;0.275747752465419;2325.92308383422
1129.25000;9.80900;127.01300;67.42200;0.50100;1.19900;2.22100;2.32700;0.280349562328175;2393.87069169317
1129.40002;9.83781;127.78467;66.68750;0.48540;1.16000;2.22520;2.33960;0.281336209322403;2408.58510741139
1129.43420;9.84438;127.96045;66.52002;0.48184;1.15112;2.22616;2.34248;0.283172587899147;2436.11007067123
1129.50000;9.85700;128.29800;66.19800;0.47500;1.13400;2.22800;2.34800;0.277425164703798;2350.5597531119
1129.59998;9.86620;128.22198;66.47998;0.46500;1.13320;2.23280;2.35320;0.277419123071652;2350.4707412192
1129.60010;9.86621;128.22192;66.48022;0.46499;1.13320;2.23281;2.35321;0.274541035821105;2308.29058481386
1129.65027;9.87083;128.18378;66.62183;0.45997;1.13280;2.23521;2.35582;0.268835025236547;2225.96599595267
1129.75000;9.88000;128.10800;66.90300;0.45000;1.13200;2.24000;2.36100;0.265394256195938;2177.15943866708
1129.80005;9.87740;128.36084;67.40918;0.45540;1.12259;2.24220;2.37399;0.260605584595877;2110.27947436602
1129.86548;9.87399;128.69141;68.07031;0.46247;1.11029;2.24508;2.39102;0.249622495370891;1961.48590140895
1130.00000;9.86700;129.37199;69.42900;0.47700;1.08500;2.25100;2.42600;0.241703421778805;1858.17645550517
1130.07983;9.85327;129.55151;70.20996;0.47923;1.09746;2.24844;2.42600;0.228748300031567;1696.34914001758
1130.20007;9.83260;129.82178;71.38574;0.48260;1.11621;2.24460;2.42600;0.222974160883522;1627.09369778227
1130.25000;9.82400;129.93401;71.87400;0.48400;1.12400;2.24300;2.42600;0.227336976027242;1679.25827598697
1130.29333;9.81271;129.93765;71.59277;0.48608;1.12730;2.24058;2.43900;0.237872664417452;1809.39732408853
1130.40002;9.78497;129.94659;70.90088;0.49120;1.13541;2.23460;2.47101;0.247493518715209;1933.38521696925
1130.50000;9.75900;129.95500;70.25300;0.49600;1.14300;2.22900;2.50100;0.247993891753029;1939.96822701336
1130.50659;9.75305;129.95074;70.20605;0.49592;1.14339;2.22939;2.50200;0.254984791697961;2033.33196319707
