CAL,DT,GR,NPHI,ILD,RHOB,SP,porosite,K,Well Name,logK
11.35504,144.35498,85.66113,0.50875,0.67578,2.1385,7.3613,0.211634235299052,1496.22552938727,p5,3.1749970606315214
11.42816,143.9624,83.76367,0.5061,0.67456,2.15252,7.34058,0.217966816698396,1568.458647672,p5,3.195473073034014
11.43793,143.90991,83.50977,0.50575,0.6744,2.1544,7.3378,0.218750312985321,1577.54369308649,p5,3.197981396698152
11.43799,143.90967,83.50879,0.50575,0.6744,2.1544,7.33778,0.218754545283843,1577.59285755294,p5,3.1979949313621163
11.462,143.78101,82.887,0.50488,0.674,2.159,7.331,0.220609604138241,1599.23359664699,p5,3.20391190485014
11.46915,143.68042,82.63086,0.50445,0.67495,2.15745,7.32336,0.22175865931173,1612.72999841564,p5,3.207561664342814
11.46915,143.68042,82.63086,0.50445,0.67495,2.15745,7.32336,0.22175865931173,1612.72999841564,p5,3.207561664342814
11.48169,143.50366,82.18359,0.5037,0.67662,2.15474,7.31,0.223741426015722,1636.183764836,p5,3.213832079024993
11.49799,143.27393,81.60059,0.50272,0.6788,2.1512,7.2926,0.226281695035903,1666.53719444256,p5,3.221815010862376
11.51825,142.98877,80.87793,0.5015,0.6815,2.14681,7.271,0.229361258248029,1703.79412396007,p5,3.2314171161174134
11.522,142.936,80.744,0.50127,0.682,2.146,7.267,0.229922472459949,1710.6380140135,p5,3.2331581187470384
11.50299,143.04785,81.15723,0.49963,0.682,2.14255,7.26038,0.228344476929526,1691.43734402058,p5,3.2282559148345484
11.50299,143.04785,81.15723,0.49963,0.682,2.14255,7.26038,0.228344476929526,1691.43734402058,p5,3.2282559148345484
11.46716,143.25952,81.93945,0.49653,0.682,2.13601,7.24782,0.225286645922655,1654.60677671358,p5,3.2186947987193184
11.4671,143.26001,81.94141,0.49652,0.682,2.13599,7.24779,0.225278750146332,1654.51231738898,p5,3.218670004710833
11.44696,143.37891,82.38086,0.49478,0.682,2.13232,7.24074,0.223517270819733,1633.52201740632,p5,3.2131249924837118
11.385,143.745,83.734,0.48941,0.682,2.121,7.219,0.217887216454959,1567.53759090347,p5,3.1952179643838994
11.33911,143.93555,83.82446,0.48919,0.67982,2.11882,7.23618,0.217758618164196,1566.05006696011,p5,3.194805642432602
11.33911,143.93555,83.82446,0.48919,0.67982,2.11882,7.23618,0.217758618164196,1566.05006696011,p5,3.194805642432602
11.33887,143.93604,83.82471,0.48919,0.67981,2.11881,7.23624,0.217758895445856,1566.05327334236,p5,3.1948065316204524
11.32617,143.98926,83.8501,0.48913,0.6792,2.1182,7.241,0.21772247993538,1565.63220640437,p5,3.1946897465537747
11.15967,144.68018,84.17847,0.48835,0.67127,2.11027,7.30331,0.21723887245752,1560.04700452849,p5,3.193137683931262
11.091,144.965,84.314,0.48803,0.668,2.107,7.329,0.217029700735345,1557.63511976725,p5,3.192465730595421
11.07492,144.96133,83.87988,0.4897,0.66537,2.1063,7.31766,0.219491857760128,1586.17248337149,p5,3.2003504115461885
11.07492,144.96133,83.87988,0.4897,0.66537,2.1063,7.31766,0.219491857760128,1586.17248337149,p5,3.2003504115461885
11.0564,144.95709,83.37988,0.49163,0.66236,2.1055,7.30457,0.222298053562193,1619.08993275518,p5,3.2092709724189534
11.01743,144.94821,82.32617,0.49569,0.656,2.1038,7.27704,0.228109267487539,1688.5867174667,p5,3.227523368761905
11.01736,144.9482,82.3252,0.49569,0.65599,2.1038,7.27701,0.22811340888523,1688.63688399101,p5,3.2275362711025593
11.00031,144.94431,81.86426,0.49747,0.65321,2.10306,7.26492,0.230613884063165,1719.0926505713,p5,3.2352992836373358
10.999,144.944,81.829,0.4976,0.653,2.103,7.264,0.230803003811801,1721.40963309164,p5,3.235884228969387
10.97571,144.82031,81.59814,0.49982,0.65203,2.10358,7.24374,0.232224928363915,1738.89106587109,p5,3.2402723761528476
10.97571,144.82031,81.59814,0.49982,0.65203,2.10358,7.24374,0.232224928363915,1738.89106587109,p5,3.2402723761528476
